model	year	odometer	crumb_area	price	model1_est	model5_est	model3_est	model4_est	model2_est
sti-wrx	2007	140438	minneapolis	7500	16914.231040960683	13797.777777777777	14640.561693177788	19286.675213675215	14000
outback	2004	143500	minneapolis	3900	4999.409325966668	7276.251040221914	3837.708147378463	7574.452145214522	3999.5
forester	2016	33008	atlanta	22000	14878.587438974691	18539.40404040404	17368.86192161104	6524.113964686999	17195
impreza-wrx	2004	167	atlanta	6500	9267.803801158983	7276.251040221914	6188.613527058707	9121.141592920354	6500
brz	2013	34700	atlanta	16000	15184.09510103583	18539.40404040404	16499.5333323634	16082.274725274725	15950
impreza-wrx	2002	161222	minneapolis	5600	4978.870129772009	2417.3728222996515	4330.594248481183	9121.141592920354	5300
wrx	2002	187000	minneapolis	6000	6584.271473504281	2417.3728222996515	4852.014961482639	12931.025862068966	5500
impreza	2011	55000	minneapolis	7700	9637.930270284649	11567.134146341463	9178.226833732686	6655.659942363112	7500
legacy-outback	1999	200000	atlanta	700	481.0443699805387	2417.3728222996515	1686.0235808456155	3175.4347826086955	1450
legacy	2015	64000	missoula	18250	16265.723133269441	18539.40404040404	16695.853541963337	6418.04289544236	15995
forester	2004	258640	missoula	2900	5782.340183967642	4789.687074829932	2596.0227503797714	6524.113964686999	3200
outback	2005	193460	missoula	3500	7767.892327488049	4789.687074829932	3934.1563442556007	7574.452145214522	4400
impreza	2009	52000	missoula	8000	9930.860238795192	7276.251040221914	8814.80103682011	6655.659942363112	5950
outback	2006	190000	missoula	7500	8654.184702917644	4789.687074829932	4535.796134278807	7574.452145214522	4997.5
legacy	2008	156000	minneapolis	6000	7694.818560105839	4789.687074829932	5085.363974140069	6418.04289544236	5800
impreza-wrx	2002	215	atlanta	5800	7437.236959137119	7276.251040221914	6067.974517395615	9121.141592920354	5300
outback	2008	110000	minneapolis	5000	8631.381202364488	7276.251040221914	7694.5641574575575	7574.452145214522	6325
legacy	2005	190000	minneapolis	6500	4971.816958507485	4789.687074829932	2915.082966891795	6418.04289544236	4000
legacy	2015	80000	missoula	14999	16165.75952632732	11650.57939914163	16017.486591813038	6418.04289544236	15995
legacy	2015	64000	missoula	17250	16265.723133269441	18539.40404040404	16695.853541963337	6418.04289544236	15995
legacy	2016	10500	missoula	24500	17951.231412859368	18539.40404040404	19952.797938964613	6418.04289544236	16200
legacy	2009	89140	minneapolis	8959	8823.865328710948	7276.251040221914	7716.8594099584525	6418.04289544236	6000
impreza	2009	74600	minneapolis	7850	7745.004285583076	7276.251040221914	7175.656810981805	6655.659942363112	5950
impreza	2009	89400	minneapolis	6000	7663.914871575795	7276.251040221914	6741.191604839181	6655.659942363112	5950
forester-xt	2010	175	minneapolis	9900	14087.08503343175	7276.251040221914	10611.604706183096	9804.4	9900
outback	2001	189000	minneapolis	600	2241.330796521597	2417.3728222996515	1906.975569599298	7574.452145214522	2450
forester-xt	2005	131000	atlanta	6800	6589.249662983188	7276.251040221914	7330.81413891698	9804.4	5500
outback	2009	89144	atlanta	11995	9263.494303975824	7276.251040221914	9870.226276277	7574.452145214522	8000
impreza	2007	126	minneapolis	3999	8590.833463542767	7276.251040221914	5053.817476676419	6655.659942363112	5250
legacy	2010	53000	minneapolis	9999	9934.961109362808	7276.251040221914	10195.030593162517	6418.04289544236	6500
impreza	2017	4500	minneapolis	17500	16021.065977169557	11567.134146341463	14893.67614553203	6655.659942363112	12999
impreza	2007	123700	minneapolis	6400	5761.9726367162875	7276.251040221914	4856.962721093079	6655.659942363112	5250
forester	2007	137800	minneapolis	6400	6675.0317190585065	7276.251040221914	5868.162648014835	6524.113964686999	5998
forester	2001	212000	minneapolis	850	1212.6892733081627	2417.3728222996515	1582.8975551465346	6524.113964686999	2350
forester	2002	134500	minneapolis	9500	2294.8939133686567	7276.251040221914	3353.729448400547	6524.113964686999	2700
forester	2007	149000	atlanta	5000	6299.699141770112	4789.687074829932	5207.314363508074	6524.113964686999	5998
forester	2007	155495	atlanta	4499	6280.5709036454555	4789.687074829932	5019.669414639649	6524.113964686999	5998
outback	2003	109000	minneapolis	2500	4244.470690379758	7276.251040221914	4417.321407764459	7574.452145214522	3050
impreza	2010	115123	minneapolis	7000	8428.783859447947	7276.251040221914	6727.866345811368	6655.659942363112	6700
legacy	2005	168000	minneapolis	5000	5026.991587881645	4789.687074829932	3284.0436582800303	6418.04289544236	4000
legacy	2003	160000	minneapolis	2000	3292.464353563137	2417.3728222996515	2667.0047437959147	6418.04289544236	2500
legacy	2005	200000	minneapolis	3500	4948.81826364832	4789.687074829932	2762.9663460103457	6418.04289544236	4000
wrx	2013	130000	minneapolis	15000	16407.476072264497	11650.57939914163	15674.501207274268	12931.025862068966	18950
wrx	2004	250000	atlanta	4500	7870.177883783808	4789.687074829932	5042.789426116618	12931.025862068966	6000
forester	2001	257	minneapolis	1250	4077.9723182590355	2504.294736842105	1776.9937632221336	6524.113964686999	2350
outback	2005	148000	atlanta	1900	5523.466220429131	4789.687074829932	4418.294485180202	7574.452145214522	4400
forester	2007	137800	minneapolis	6400	6675.0317190585065	7276.251040221914	5868.162648014835	6524.113964686999	5998
impreza-wrx	2009	93000	minneapolis	15000	11372.886776571568	7276.251040221914	13084.09292364615	9121.141592920354	11499
forester	2009	172000	atlanta	5700	7991.744230745526	4789.687074829932	5804.2804210036065	6524.113964686999	6900
