price	model1_est	model2_est	model3_est	model4_est	model5_est
15000	16407.476072264497	18950	15674.501207274268	12931.025862068966	11650.57939914163
4500	7870.177883783808	6000	5042.789426116618	12931.025862068966	4789.687074829932
1250	4077.9723182590355	2350	1776.9937632221336	6524.113964686999	2504.294736842105
1900	5523.466220429131	4400	4418.294485180202	7574.452145214522	4789.687074829932
6400	6675.0317190585065	5998	5868.162648014835	6524.113964686999	7276.251040221914
15000	11372.886776571568	11499	13084.09292364615	9121.141592920354	7276.251040221914
5700	7991.744230745526	6900	5804.2804210036065	6524.113964686999	4789.687074829932
8900	12809.80207946969	14500	9714.318802776994	6418.04289544236	11650.57939914163
700	1761.4807184043714	2450	1458.0341742366472	7574.452145214522	2417.3728222996515
7000	13280.466934660453	14500	12283.447832106209	6418.04289544236	11650.57939914163
900	-1280.3400946466822	1500	922.7808507769405	6418.04289544236	2417.3728222996515
4500	4008.4174536254163	3200	3895.8005130292477	6524.113964686999	4789.687074829932
3000	5687.6726880091555	5250	4444.922867329722	6655.659942363112	7276.251040221914
1800	3817.9163020586107	4500	3056.220416928555	6655.659942363112	4789.687074829932
19500	14899.633003246907	17750	16406.378841953803	7574.452145214522	11650.57939914163
8900	10300.99874247015	6900	5810.761997538043	9121.141592920354	7276.251040221914
3000	4571.926066131476	1800	2991.790307853491	3175.4347826086955	2417.3728222996515
17900	15089.874729622332	18250	19206.62066134627	9121.141592920354	18539.40404040404
1200	2016.9583550561933	2700	1300.6678194074539	6524.113964686999	2417.3728222996515
250	-3962.7491953947683	1100	875.173944917783	6418.04289544236	2417.3728222996515
9600	18012.34604380389	17200	18785.482190618	16082.274725274725	18539.40404040404
9000	11946.384489488055	10750	10165.73996266865	12931.025862068966	4789.687074829932
7250	8625.237762785315	9900	7066.030403651492	9804.4	4789.687074829932
1900	-1393.8446120114872	1500	1270.7164212453417	6524.113964686999	2417.3728222996515
18500	18158.94375818805	17200	19211.72700354069	16082.274725274725	18539.40404040404
19000	15193.210781861384	15950	16558.59124171591	16082.274725274725	18539.40404040404
9000	4840.185530807101	4000	2062.5328611945224	6418.04289544236	4789.687074829932
11000	11242.179074667358	9900	10296.518498195423	7574.452145214522	11650.57939914163
15750	15907.86686691142	16000	15835.657401134753	16082.274725274725	18539.40404040404
7000	10689.438724341824	6325	8988.436650726306	7574.452145214522	7276.251040221914
6500	7689.107390865025	5800	5040.998689613354	6418.04289544236	4789.687074829932
10500	10408.125086573153	9500	9353.85313237586	6655.659942363112	11567.134146341463
6495	7588.028806174303	5495	5165.586686054037	7574.452145214522	4789.687074829932
1200	-1991.201126358013	1500	1493.5018240144354	6418.04289544236	2417.3728222996515
3400	3059.2555471504315	2500	3370.558535268674	6418.04289544236	7276.251040221914
7200	9582.254192539891	5495	5681.932852269036	7574.452145214522	4789.687074829932
2700	4989.28917459546	4500	4342.674135169605	3175.4347826086955	4789.687074829932
7000	9921.496733868935	8500	8790.703331709876	12931.025862068966	7276.251040221914
800	3153.730423005958	2500	2371.966179245852	7574.452145214522	2417.3728222996515
4500	6577.135486057365	5500	4799.538979274432	12931.025862068966	2417.3728222996515
2495	2748.838511066015	2900	3045.009126450821	6524.113964686999	2417.3728222996515
3400	3059.2555471504315	2500	3370.558535268674	6418.04289544236	7276.251040221914
9900	10507.024192070961	9900	9679.34630260264	9804.4	7276.251040221914
16979	12982.46859987419	14100	15189.845377430713	12931.025862068966	7276.251040221914
8975	10965.785490955097	9749.5	8258.84418983049	12931.025862068966	4789.687074829932
6900	9229.418427790648	7100	7021.913342564289	6524.113964686999	4789.687074829932
16500	15160.247474326872	15950	16340.394616941201	16082.274725274725	18539.40404040404
19500	18308.89776349946	21000	21241.48407307163	12931.025862068966	18539.40404040404
6700	6139.618560112964	5500	4221.173950637625	12931.025862068966	2417.3728222996515
4500	5943.77051077197	3050	2632.1344522912786	7574.452145214522	2417.3728222996515
2700	-1719.9956194449524	1100	1535.2738776494662	6418.04289544236	2417.3728222996515
29302	7852.729942324411	6200	20951.52072071335	9804.4	7276.251040221914
5899	4531.563012360444	4750	4342.726015945716	6655.659942363112	7276.251040221914
19750	17579.37727715644	20250	19711.308431416415	12931.025862068966	18539.40404040404
5800	7977.643345972185	5800	7254.725893018187	6418.04289544236	7276.251040221914
4150	1649.711925025195	2000	4793.163734143346	6418.04289544236	2504.294736842105
4600	2803.603442617996	2500	2688.4989604731454	7574.452145214522	2417.3728222996515
2495	2748.838511066015	2900	3045.009126450821	6524.113964686999	2417.3728222996515
5700	7991.744230745526	6900	5804.2804210036065	6524.113964686999	4789.687074829932
8000	8448.119263025694	6000	6954.728705218887	12931.025862068966	7276.251040221914
17250	16265.723133269441	15995	16695.853541963337	6418.04289544236	18539.40404040404
2750	3900.4399107417325	3200	2973.2875934794583	6524.113964686999	4789.687074829932
22000	16058.219994639037	18950	20782.255529698356	9121.141592920354	18539.40404040404
12000	12125.192438215707	10750	11967.069566352537	12931.025862068966	7276.251040221914
7500	5488.405222770807	4000	6351.6828363705745	6418.04289544236	7276.251040221914
15499	13197.908136583515	12000	12358.661859415894	6655.659942363112	11567.134146341463
7000	8428.783859447947	6700	6727.866345811368	6655.659942363112	7276.251040221914
8500	9829.496489042009	8500	8012.201343143594	12931.025862068966	4789.687074829932
2200	2238.964724133468	2450	1890.7542883198657	7574.452145214522	2417.3728222996515
2300	1204.2471445204378	2000	2403.5039198307077	6418.04289544236	2417.3728222996515
15950	4171.824552543489	3050	7037.857438202753	7574.452145214522	7276.251040221914
4500	3273.404375896397	1450	3442.6128695737298	3175.4347826086955	2504.294736842105
4400	3465.96927286108	2350	3162.903895993807	7574.452145214522	2417.3728222996515
4500	5004.119970771333	3999.5	3879.0558890564516	7574.452145214522	7276.251040221914
9750	2393.251152010626	2700	4072.520464988932	6524.113964686999	7276.251040221914
9000	7589.608380236714	6900	6406.134365685528	9121.141592920354	4789.687074829932
7995	9969.440275179391	7500	5815.710160793598	6418.04289544236	11650.57939914163
8000	9382.051314840175	7100	8665.404882893572	6524.113964686999	7276.251040221914
5300	6990.820109450815	4000	4497.977898129495	6418.04289544236	4789.687074829932
1400	-1967.7895803914885	1100	906.3425762841061	6418.04289544236	2417.3728222996515
2950	5881.821029691389	4000	6050.156811130378	6524.113964686999	7276.251040221914
7500	9558.976427564698	7100	10443.133383307937	6524.113964686999	7276.251040221914
1200	2058.7254677729725	2450	706.6262996502965	7574.452145214522	2417.3728222996515
7500	5906.054082744788	4000	6271.989552559602	6524.113964686999	7276.251040221914
4500	7447.889500730407	6700	5428.669631381386	6524.113964686999	4789.687074829932
3200	2643.844440053285	2900	2224.4520127252254	6524.113964686999	2417.3728222996515
12500	10069.378811014343	7900	10600.408897108075	6524.113964686999	11650.57939914163
7000	9169.141335162069	6500	5923.0735149678585	6418.04289544236	7276.251040221914
5800	5115.1790509907605	4000	3881.719076013652	6418.04289544236	7276.251040221914
1800	-182.34790874398425	1500	1915.1432566156973	6418.04289544236	2504.294736842105
14200	13847.752696971927	14100	13606.974073594822	12931.025862068966	7276.251040221914
1600	2208.3127866826	2450	1681.9149928578827	7574.452145214522	2417.3728222996515
8500	12560.01080228541	7900	11688.482665821391	6524.113964686999	18539.40404040404
1000	4213.408491576013	2450	2446.8798460981952	7574.452145214522	2417.3728222996515
6000	8472.799260825648	6325	5984.3103690048665	7574.452145214522	4789.687074829932
3500	6176.19273039226	5500	4642.904797427624	6655.659942363112	4789.687074829932
2000	-1183.0930614718013	1500	1288.0533769633175	6418.04289544236	2417.3728222996515
9500	9046.527080485417	7100	8371.867943876952	6524.113964686999	7276.251040221914
10500	7878.689404619587	6700	9611.174461176292	6524.113964686999	7276.251040221914
11500	10430.795384255214	8999	11361.620649190507	9121.141592920354	7276.251040221914
2500	1926.272712028229	2450	2558.4822117693184	7574.452145214522	2417.3728222996515
27000	20017.119249275478	22999	22159.45546685246	12931.025862068966	18539.40404040404
7850	6105.619800036398	4000	7996.408701694978	6524.113964686999	7276.251040221914
2600	-4166.4469764759415	2150	2186.258036602604	6655.659942363112	2417.3728222996515
3500	3889.9403558656245	4500	3432.467019715441	6655.659942363112	4789.687074829932
1500	1265.1285149976884	2350	1162.9781040070593	7574.452145214522	2417.3728222996515
10000	9661.782054427213	7100	11380.654640364182	6524.113964686999	7276.251040221914
10000	9527.761205372584	7100	10143.057085095767	6524.113964686999	7276.251040221914
7995	4529.145307789286	4750	4328.779299781299	6655.659942363112	7276.251040221914
5495	7267.101756624836	5495	5444.948103356941	7574.452145214522	4789.687074829932
1300	1906.131895767453	1500	2290.2051057645385	3175.4347826086955	2417.3728222996515
8495	11108.981800827476	9900	8260.036723067416	9804.4	4789.687074829932
3900	6493.8993769407825	5000	4112.261982687306	6418.04289544236	4789.687074829932
4880	7106.390801422958	6700	5090.983056112385	6524.113964686999	4789.687074829932
4500	5790.87445199192	4400	3548.275112137884	7574.452145214522	4789.687074829932
4600	4788.477188414194	4750	3901.2888838478875	6655.659942363112	4789.687074829932
24500	16913.61864544962	18950	20771.35272011451	12931.025862068966	18539.40404040404
1999	1271.3551760888736	2350	1982.3281144512512	6524.113964686999	2417.3728222996515
1850	2534.2272555411314	2900	1389.6367271327772	6524.113964686999	2417.3728222996515
5500	7218.624243252685	5950	6215.684336725464	6655.659942363112	7276.251040221914
5999	6539.335787811413	3200	4097.392760491101	6524.113964686999	7276.251040221914
2850	4743.886193283093	4750	3659.9686517584214	6655.659942363112	4789.687074829932
700	2666.2675653199485	1350	3945.637177733607	7574.452145214522	2504.294736842105
3999	5323.2762161899045	4000	3725.9143100929095	6524.113964686999	4789.687074829932
6500	6038.532349531079	5900	5667.553462659048	9804.4	7276.251040221914
5998	3028.3601764463733	1947.5	3534.2905420037987	6524.113964686999	2504.294736842105
1600	3961.295701551686	3050	2108.93904785872	7574.452145214522	2417.3728222996515
1500	-1486.785174817332	1500	809.1760725823742	6524.113964686999	2417.3728222996515
900	-1280.3400946466822	1500	922.7808507769405	6418.04289544236	2417.3728222996515
11950	12395.37882547881	7900	10473.150462113803	6524.113964686999	11650.57939914163
6400	6026.717602111026	5900	5577.622262903227	9804.4	7276.251040221914
5000	5901.853829812817	5900	4637.922250527279	9804.4	4789.687074829932
5400	7249.516747133659	6700	6545.114528827036	6524.113964686999	7276.251040221914
8900	12803.32233824164	14500	9655.535766246014	6418.04289544236	11650.57939914163
2800	5604.664385683956	2900	4054.35415000995	6524.113964686999	7276.251040221914
4260	6738.648895324062	4997.5	4786.26234209106	7574.452145214522	4789.687074829932
3500	3530.721283874432	4500	3242.1438664192474	6655.659942363112	4789.687074829932
5500	1092.298922976579	2300	3828.1097176057974	6655.659942363112	2504.294736842105
13000	16313.316608413284	15500	12596.055728877	3175.4347826086955	18539.40404040404
6900	6770.923581050749	5500	6084.848076129187	6655.659942363112	7276.251040221914
9900	10554.070053165693	9900	10064.579639579788	9804.4	7276.251040221914
5200	7249.516747133659	6700	6545.114528827036	6524.113964686999	7276.251040221914
32000	22891.84469030487	27000	22730.69304436232	19286.675213675215	11650.57939914163
6400	5761.9726367162875	5250	4856.962721093079	6655.659942363112	7276.251040221914
11000	14236.325046486205	12000	12873.036336493282	6418.04289544236	11650.57939914163
1500	-866.0402857870076	1375	1534.9083249106925	6418.04289544236	2417.3728222996515
10900	11411.045009541005	7100	8763.830366930926	6524.113964686999	7276.251040221914
1000	657.3679391571031	1500	2289.532087771404	6524.113964686999	2417.3728222996515
3500	6426.578628911957	4997.5	5216.646180828303	7574.452145214522	7276.251040221914
8400	9557.763925859716	6500	7292.301145118101	6418.04289544236	7276.251040221914
2300	5546.574568558364	4000	2875.3686767804875	6524.113964686999	4789.687074829932
7600	8859.629641433861	6700	8949.81930918263	6655.659942363112	7276.251040221914
1950	2046.7819037064587	2200	2348.6527503060215	6418.04289544236	2417.3728222996515
